study_accession,sample_accession,submission_date,source,organism,strain,age,Strain,Age,sex,cell type,Sex
GSE42285,GSM1037109,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037110,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037111,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037112,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037113,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037114,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037115,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037116,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037117,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037118,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037119,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037120,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037121,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037122,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037123,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42285,GSM1037124,2012,wild-type C57BL/6J mice lung tissue,Mus musculus,C57BL/6J,,,,,,
GSE42298,GSM1037389,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42298,GSM1037390,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42298,GSM1037391,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42298,GSM1037392,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42298,GSM1037393,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42298,GSM1037394,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42298,GSM1037395,2012,Primary B cells,Mus musculus,,,,,,Splenocyte (B lymphocytes),
GSE42301,GSM1037416,2012,WT1_saline_control,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037417,2012,WT2_saline_control,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037418,2012,WT3_saline_control,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037419,2012,WT1_7_days_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037420,2012,WT2_7_days_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037421,2012,WT3_7_days_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037422,2012,WT1_1m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037423,2012,WT2_1m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037424,2012,WT3_1m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037425,2012,WT1_2m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037426,2012,WT2_2m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037427,2012,WT3_2m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037428,2012,WT1_3m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037429,2012,WT2_3m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037430,2012,WT3_3m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037431,2012,WT1_4m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037432,2012,WT2_4m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42301,GSM1037433,2012,WT3_4m_Blm,Mus musculus,C57BL/6,,,,,,
GSE42316,GSM1037579,2012,"B-cells, BLV- infected cells isolated from asymptomatic sheep",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037580,2012,"B-cells, BLV- infected cells isolated from asymptomatic sheep",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037581,2012,"B-cells, BLV-infected, leukemic",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037582,2012,"B-cells, BLV- infected cells isolated from asymptomatic sheep",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037583,2012,"B-cells, BLV-infected, leukemic",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037584,2012,"B-cells, BLV-infected, lymphoma",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037585,2012,"B-cells, BLV-infected, leukemic",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037586,2012,"B-Cell line, BLV-infected,  lymphoma",Ovis aries,,,,,,B-cell,
GSE42316,GSM1037587,2012,"B-Cell line, BLV-infected,  leukemic",Ovis aries,,,,,,B-cell,
GSE42321,GSM1037657,2012,C/EBPalpha 0h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037658,2012,C/EBPalpha 3h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037659,2012,C/EBPalpha 8h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037660,2012,C/EBPalpha 16h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037661,2012,C/EBPalpha 24h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037662,2012,C/EBPalpha 36h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037663,2012,C/EBPalpha 48h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037664,2012,C/EBPalpha 168h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037665,2012,C/EBPbeta 0h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037666,2012,C/EBPbeta 3h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037667,2012,C/EBPbeta 8h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037668,2012,C/EBPbeta 16h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037669,2012,C/EBPbeta 24h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037670,2012,C/EBPbeta 36h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037671,2012,C/EBPbeta 48h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037672,2012,C/EBPbeta 168h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037673,2012,RNA Polymerase II 0h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037674,2012,RNA Polymerase II 3h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037675,2012,RNA Polymerase II 8h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037676,2012,RNA Polymerase II 16h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037677,2012,RNA Polymerase II 24h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037678,2012,RNA Polymerase II 36h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037679,2012,RNA Polymerase II 48h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037680,2012,RNA Polymerase II 168h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037681,2012,IgG Mock 0h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42321,GSM1037682,2012,Egr1 36h,Mus musculus,C57BL6/J,7 weeks old,,,,,
GSE42332,GSM1038005,2012,"B6.Cg-Tg(TcraTcrb)425Cbn/J (OT-II TCR transgenic), Th0 cells",Mus musculus,B6.Cg-Tg(TcraTcrb)425Cbn/J (OT-II TCR transgenic),,,,,splenic naïve CD4+ T cells,
GSE42332,GSM1038006,2012,"B6.Cg-Tg(TcraTcrb)425Cbn/J (OT-II TCR transgenic), Th22 cells",Mus musculus,B6.Cg-Tg(TcraTcrb)425Cbn/J (OT-II TCR transgenic),,,,,splenic naïve CD4+ T cells,
GSE42332,GSM1038007,2012,"B6.Cg-Tg(TcraTcrb)425Cbn/J (OT-II TCR transgenic), Th17 cells",Mus musculus,B6.Cg-Tg(TcraTcrb)425Cbn/J (OT-II TCR transgenic),,,,,splenic naïve CD4+ T cells,
GSE42350,GSM1038232,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,Splenocyte (B lymphocytes),
GSE42350,GSM1038233,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,Splenocyte (B lymphocytes),
GSE42350,GSM1038234,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,Splenocyte (B lymphocytes),
GSE42350,GSM1038235,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,Splenocyte (B lymphocytes),
GSE42364,GSM1038355,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42364,GSM1038356,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42364,GSM1038357,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42364,GSM1038358,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42364,GSM1038359,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42364,GSM1038360,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42365,GSM1038361,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42365,GSM1038362,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42365,GSM1038363,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42365,GSM1038364,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42365,GSM1038365,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42365,GSM1038366,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42366,GSM1038355,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42366,GSM1038356,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42366,GSM1038357,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42366,GSM1038358,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42366,GSM1038359,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42366,GSM1038360,2012,PDAC CAFs,Mus musculus,,,,,,PDAC CAFs,
GSE42366,GSM1038361,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42366,GSM1038362,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42366,GSM1038363,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42366,GSM1038364,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42366,GSM1038365,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42366,GSM1038366,2012,PDAC epithelial cells,Mus musculus,,,,,,PDAC epithelial cells,
GSE42385,GSM1038643,2012,CD4-positive cells from spleen and lymph nodes from female C57BL/6 mice,Mus musculus,C57BL/6,,,,,CD4+,
GSE42385,GSM1038644,2012,CD4-positive cells from spleen and lymph nodes from female C57BL/6 mice,Mus musculus,C57BL/6,,,,,CD4+,
GSE42385,GSM1038645,2012,CD4-positive cells from spleen and lymph nodes from female C57BL/6 mice,Mus musculus,C57BL/6,,,,,CD4+,
GSE42385,GSM1038646,2012,CD4-positive cells from spleen and lymph nodes from female C57BL/6 mice,Mus musculus,C57BL/6,,,,,CD4+,
GSE42385,GSM1038647,2012,CD4-positive cells from spleen and lymph nodes from female C57BL/6 mice,Mus musculus,C57BL/6,,,,,CD4+,
GSE42385,GSM1038648,2012,CD4-positive cells from spleen and lymph nodes from female C57BL/6 mice,Mus musculus,C57BL/6,,,,,CD4+,
GSE42396,GSM1039178,2012,tail,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039179,2012,tail,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039180,2012,tail,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039181,2012,tail,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039182,2012,brain,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039183,2012,brain,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039184,2012,brain,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039185,2012,cerebrum,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039186,2012,cerebrum,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039187,2012,tail,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039188,2012,tail,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039949,2012,cerebrum,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42396,GSM1039950,2012,cerebrum,Mus musculus,mixed 129|C57BL/6,,,,,,
GSE42438,GSM1040119,2012,Rat XEN cells cultured without treatments,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040120,2012,Rat XEN cells cultured without treatments,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040121,2012,Rat XEN cells cultured without treatments,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040122,2012,Rat XEN cells cultured 2 days with inhibitor of GSK3 kinase,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040123,2012,Rat XEN cells cultured 2 days with inhibitor of GSK3 kinase,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040124,2012,Rat XEN cells cultured 2 days with inhibitor of GSK3 kinase,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040125,2012,Rat XEN cells cultured 1 day with inhibitor of GSK3 kinase and 1 day with inhibitor of GSK3 kinase and Forskolin,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040126,2012,Rat XEN cells cultured 1 day with inhibitor of GSK3 kinase and 1 day with inhibitor of GSK3 kinase and Forskolin,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040127,2012,Rat XEN cells cultured 1 day with inhibitor of GSK3 kinase and 1 day with inhibitor of GSK3 kinase and Forskolin,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040128,2012,Rat XEN cells cultured 1 day with Forskolin,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040129,2012,Rat XEN cells cultured 1 day with Forskolin,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42438,GSM1040130,2012,Rat XEN cells cultured 1 day with Forskolin,Rattus norvegicus,Fisher,,,,,Rat XEN cells,
GSE42443,GSM1040149,2012,spinal cord,Mus musculus,C57BL6,post natal day 14,,,,,
GSE42443,GSM1040150,2012,spinal cord,Mus musculus,C57BL6,post natal day 14,,,,,
GSE42447,GSM1040151,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42447,GSM1040152,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42447,GSM1040153,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42447,GSM1040154,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42447,GSM1040155,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42447,GSM1040156,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42447,GSM1040157,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42447,GSM1040158,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42447,GSM1040159,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42447,GSM1040160,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42447,GSM1040161,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42447,GSM1040162,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42447,GSM1040163,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42447,GSM1040164,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42447,GSM1040165,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42447,GSM1040166,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42447,GSM1040167,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42451,GSM1040394,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040395,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040396,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040397,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040398,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040399,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040400,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040401,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040402,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040403,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040404,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040405,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040406,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040407,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040408,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040409,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040410,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040411,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040412,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040413,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040414,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040415,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040416,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040417,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040418,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040419,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040420,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040421,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040422,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040423,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040424,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040425,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040426,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040427,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040428,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040429,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040430,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040431,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040432,2012,thymocyte,Mus musculus,C57BL/6,,,,,thymocyte,
GSE42451,GSM1040433,2012,thymocyte,Mus musculus,C57BL/6,,,,,thymocyte,
GSE42451,GSM1040434,2012,thymocyte,Mus musculus,C57BL/6,,,,,thymocyte,
GSE42451,GSM1040435,2012,thymocyte,Mus musculus,C57BL/6,,,,,thymocyte,
GSE42451,GSM1040436,2012,thymocyte,Mus musculus,C57BL/6,,,,,thymocyte,
GSE42451,GSM1040437,2012,thymocyte,Mus musculus,C57BL/6,,,,,thymocyte,
GSE42451,GSM1040438,2012,MEF,Mus musculus,C57BL/6,,,,,MEF,
GSE42451,GSM1040439,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42451,GSM1040440,2012,in vitro activated B cells,Mus musculus,C57BL/6,,,,,in vitro activated B cells,
GSE42454,GSM1040149,2012,spinal cord,Mus musculus,C57BL6,post natal day 14,,,,,
GSE42454,GSM1040150,2012,spinal cord,Mus musculus,C57BL6,post natal day 14,,,,,
GSE42454,GSM1040151,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42454,GSM1040152,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42454,GSM1040153,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42454,GSM1040154,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42454,GSM1040155,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42454,GSM1040156,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42454,GSM1040157,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42454,GSM1040158,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42454,GSM1040159,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42454,GSM1040160,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42454,GSM1040161,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42454,GSM1040162,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42454,GSM1040163,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42454,GSM1040164,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42454,GSM1040165,2012,oligodendrocyte precursor cells,Rattus norvegicus,Sprague-Dawley,,,,,Primary OPCs,
GSE42454,GSM1040166,2012,immature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary iOLs,
GSE42454,GSM1040167,2012,mature oligodendrocyte cells,Rattus norvegicus,Sprague-Dawley,,,,,primary mOLs,
GSE42462,GSM1040573,2012,primary pre-B cell,Mus musculus,a mix of C57BL/6 and 129,,,,,primary pre-B cell,
GSE42462,GSM1040574,2012,primary pre-B cell,Mus musculus,a mix of C57BL/6 and 129,,,,,primary pre-B cell,
GSE42462,GSM1040575,2012,primary pre-B cell,Mus musculus,a mix of C57BL/6 and 129,,,,,primary pre-B cell,
GSE42462,GSM1040576,2012,primary pre-B cell,Mus musculus,a mix of C57BL/6 and 129,,,,,primary pre-B cell,
GSE42466,GSM1041372,2012,Embryonic stem cells (E14),Mus musculus,129/Ola,,,,,Embryonic stem cells (E14),
GSE42466,GSM1041373,2012,Embryonic stem cells (E14),Mus musculus,129/Ola,,,,,Embryonic stem cells (E14),
GSE42466,GSM1041374,2012,Embryonic stem cells (E14),Mus musculus,129/Ola,,,,,Embryonic stem cells (E14),
GSE42466,GSM1041375,2012,Embryonic stem cells (E14),Mus musculus,129/Ola,,,,,Embryonic stem cells (E14),
GSE42466,GSM1041376,2012,Embryonic stem cells (E14),Mus musculus,129/Ola,,,,,Embryonic stem cells (E14),
GSE42466,GSM1041377,2012,Embryonic stem cells (E14),Mus musculus,129/Ola,,,,,Embryonic stem cells (E14),
GSE42474,GSM1038259,2012,ZHBTc4 ES cells,Mus musculus,C57BL/6-129,,,,,Embryonic stem cells,
GSE42474,GSM1038260,2012,ZHBTc4 ES cells,Mus musculus,C57BL/6-129,,,,,Embryonic stem cells,
GSE42474,GSM1038261,2012,ZHBTc4 ES cells,Mus musculus,C57BL/6-129,,,,,Embryonic stem cells,
GSE42474,GSM1038262,2012,ZHBTc4 ES cells,Mus musculus,C57BL/6-129,,,,,Embryonic stem cells,
GSE42474,GSM1038263,2012,pro-B cell,Mus musculus,C57BL/6-129,,,,,38B9 cells,
GSE42474,GSM1038264,2012,pro-B cell,Mus musculus,C57BL/6-129,,,,,38B9 cells,
GSE42474,GSM1038265,2012,pro-B cell,Mus musculus,C57BL/6-129,,,,,38B9 cells,
GSE42474,GSM1038266,2012,ZHBTc4 ES cells,Mus musculus,C57BL/6-129,,,,,Embryonic stem cells,
GSE42474,GSM1038267,2012,ZHBTc4 ES cells,Mus musculus,C57BL/6-129,,,,,Embryonic stem cells,
GSE42518,GSM1041378,2012,MAST,Mus musculus,,,,,,Mast cell,
GSE42518,GSM1041379,2012,MAST,Mus musculus,,,,,,Mast cell,
GSE42537,GSM1044663,2012,Liver tissue,Mus musculus,C57Bl/6,,,,,,
GSE42537,GSM1044664,2012,Liver tissue,Mus musculus,C57Bl/6,,,,,,
GSE42537,GSM1044665,2012,Liver tissue,Mus musculus,C57Bl/6,,,,,,
